"SampleSize","Method","Horizon","Parameter","TrueValue","Mean","SD","MSE"
100,"Hotz-Miller",50,"pi_0",1.2,-5.09985043797167,4.2545746532138,57.7714196151015
100,"Hotz-Miller",50,"pi_1",-1.2,8.73867361610025,1.44375260300401,100.859570404469
100,"Hotz-Miller",50,"F",-0.2,0.582343994487376,1.44790121543878,2.70638363744989
100,"Hotz-Miller",100,"pi_0",1.2,-5.13398348046147,4.27718262905453,58.3953436818023
100,"Hotz-Miller",100,"pi_1",-1.2,8.79193872569035,1.44738240839062,101.931660418233
100,"Hotz-Miller",100,"F",-0.2,0.584236130429071,1.45465489899563,2.72893116256717
100,"Hotz-Miller",200,"pi_0",1.2,-5.13416030110944,4.27729975243392,58.3985845991499
100,"Hotz-Miller",200,"pi_1",-1.2,8.79221465688816,1.44740126174523,101.93722919142
100,"Hotz-Miller",200,"F",-0.2,0.584245932328817,1.45468993103522,2.7290483550341
1000,"Hotz-Miller",50,"pi_0",1.2,-6.30457756784853,1.16622400783093,57.6774028298601
1000,"Hotz-Miller",50,"pi_1",-1.2,10.6446580660931,0.289444340900749,140.379618951117
1000,"Hotz-Miller",50,"F",-0.2,-0.147151379952536,0.481291188946217,0.234202543989627
1000,"Hotz-Miller",100,"pi_0",1.2,-6.34519330732898,1.17219694120665,58.3026136682674
1000,"Hotz-Miller",100,"pi_1",-1.2,10.7051295776894,0.291193926524614,141.816819370516
1000,"Hotz-Miller",100,"F",-0.2,-0.146238550642047,0.484228963040962,0.237133504396146
1000,"Hotz-Miller",200,"pi_0",1.2,-6.345403710531,1.17222788344816,58.3058612474176
1000,"Hotz-Miller",200,"pi_1",-1.2,10.7054428404745,0.29120299251352,141.824283611472
1000,"Hotz-Miller",200,"F",-0.2,-0.146233821878955,0.484244183454142,0.237148738689703
