"SampleSize","Model","Parameter","TrueValue","Mean","SD","MSE"
100,"Beta Calibrated","pi_0",1.2,1.26410794780744,1.18474995311087,1.4063386479169
100,"Beta Calibrated","pi_1",-1.2,-0.967931947823008,0.966080254365753,0.986233327658746
100,"Beta Calibrated","F",-0.2,-0.0893735235149717,0.742529070766296,0.563036288811619
100,"Beta Estimated","pi_0",1.2,3.03924919958397,10.0017003177868,103.316812855739
100,"Beta Estimated","pi_1",-1.2,-1.37039696034821,3.64593950920016,13.3086171539378
100,"Beta Estimated","F",-0.2,-0.646914454330346,2.41288584737485,6.01592862383875
100,"Beta Estimated","beta",0.9,-0.318300532438509,4.42342497807692,21.031378035478
1000,"Beta Calibrated","pi_0",1.2,1.19643711506455,0.122451969035985,0.0149921843851322
1000,"Beta Calibrated","pi_1",-1.2,-1.20533455032617,0.15560397139872,0.0242168407463212
1000,"Beta Calibrated","F",-0.2,-0.208687569050762,0.107510359341371,0.0116223927443568
1000,"Beta Estimated","pi_0",1.2,0.37610929845952,1.43591197381586,2.73857724143607
1000,"Beta Estimated","pi_1",-1.2,-1.10639060887317,0.488083330116734,0.246749829907838
1000,"Beta Estimated","F",-0.2,-0.231540303287375,0.125790396560355,0.0168021913744042
1000,"Beta Estimated","beta",0.9,2.33063203776708,5.94908778299893,37.4029618318629
10000,"Beta Calibrated","pi_0",1.2,1.19939900142659,0.0376993254704839,0.00142017910107379
10000,"Beta Calibrated","pi_1",-1.2,-1.1994105514094,0.0457355702996417,0.00208999809788379
10000,"Beta Calibrated","F",-0.2,-0.201841391171973,0.0333189725691725,0.00111243450058042
10000,"Beta Estimated","pi_0",1.2,0.987001000489048,0.49378692194902,0.288950272556266
10000,"Beta Estimated","pi_1",-1.2,-1.19400771737503,0.0526396640402352,0.00280407074709609
10000,"Beta Estimated","F",-0.2,-0.208445355349743,0.0505333351002743,0.00262238836538369
10000,"Beta Estimated","beta",0.9,1.36352560174239,1.30825952378683,1.92468742206802
